Iteration,Episode,Time of Training,Time of last episode,Reward,Average Action Prob
0,0,3.502606248992379,3.502601564003271,-20.0,0.5000171509893855
0,1,6.887198928001453,3.382367811005679,-21.0,0.5000107364443244
0,2,9.611143508998794,2.721733120008139,-21.0,0.5000860479645705
0,3,12.553494423002121,2.9401649409992388,-21.0,0.4999641349756168
0,4,16.488239389000228,3.932522818999132,-20.0,0.5000346787570147
0,5,20.14429818499775,3.6538163579971297,-21.0,0.5000253556649522
0,6,23.746356923002168,3.601897551008733,-21.0,0.5000491493747602
0,7,26.909438474001945,3.162911981009529,-21.0,0.4999577656337713
0,8,30.065046190997236,3.155443194002146,-21.0,0.5000175495223222
0,9,33.35166501699132,3.2864699979982106,-20.0,0.5000340769010164
1,0,45.88295632999507,3.346950332997949,-20.0,0.5005600081574952
1,1,49.87056698999368,3.9874485850014025,-21.0,0.5002216954827309
1,2,53.217659046000335,3.3469152600009693,-21.0,0.5003062528503986
1,3,56.56077658299182,3.3429507039982127,-21.0,0.5005949684576589
1,4,59.477647362000425,2.9167145660030656,-21.0,0.5007203027750332
1,5,62.3988444669958,2.921045420996961,-21.0,0.5003573106945429
1,6,66.08152405598958,3.682530696998583,-20.0,0.5006588300618019
1,7,69.2273462680023,3.145647678000387,-21.0,0.5001484269352116
1,8,72.14048197299417,2.9129923849977786,-21.0,0.5002814868544088
1,9,75.67778887199529,3.537159362997045,-21.0,0.5008565961605027
2,0,88.81271534599364,4.44271813800151,-19.0,0.5014820222233684
2,1,92.90618323699164,4.093277612992097,-20.0,0.5006360879736553
2,2,96.17077059599978,3.2644073800038313,-20.0,0.5016127855822359
2,3,99.09934188600164,2.92839633001131,-21.0,0.5015987640029742
2,4,102.44824494699424,3.348744001996238,-21.0,0.5021835970139857
2,5,106.0184474909911,3.5700375129963504,-21.0,0.500728858430133
2,6,109.1610860380024,3.14246851101052,-21.0,0.5010999758174941
2,7,112.51447560499946,3.3532337450014893,-21.0,0.5015979114667339
2,8,116.00150295298954,3.4868641329958336,-20.0,0.5015994234331723
2,9,119.26830828600214,3.2666452109988313,-20.0,0.5018218146228505
3,0,131.9353950759978,2.947605103996466,-21.0,0.5030801715962228
3,1,135.48955070199736,3.5539912690001074,-21.0,0.5023717969863363
3,2,139.26054289699823,3.7708208819967695,-21.0,0.5030685278137078
3,3,143.2464539520006,3.985733332010568,-21.0,0.5027132857107883
3,4,147.3525904989947,4.10596166299365,-20.0,0.502569459113717
3,5,150.92268571098975,3.5699149439897155,-21.0,0.5027989983144734
3,6,155.0534960829973,4.130641594994813,-20.0,0.503095297423767
3,7,157.97582457499811,2.922144562995527,-21.0,0.5022945321689952
3,8,161.5367561269959,3.5607793600065634,-21.0,0.5025282979352218
3,9,164.79243503999896,3.255506790999789,-20.0,0.503593306519397
4,0,177.24488564299827,2.988019673008239,-21.0,0.5037103414481402
4,1,180.48930575499253,3.2442628349963343,-20.0,0.503940655115178
4,2,183.40730197599623,2.9178280110063497,-21.0,0.5035095186813653
4,3,186.5304336019908,3.1229651350004133,-21.0,0.5040077960676392
4,4,189.6595911780023,3.129001198001788,-21.0,0.503456326115266
4,5,192.79777955600002,3.1380270430090604,-21.0,0.5050092007564959
4,6,196.7101169689995,3.912173773001996,-18.0,0.5037879656695804
4,7,199.62198406200332,2.911692498004413,-21.0,0.5041832161199266
4,8,202.76073057900066,3.1373438230075408,-21.0,0.5041640504385552
4,9,206.32680580999295,3.5646884979942115,-21.0,0.5037198719774227
5,0,219.091632191994,3.7118315609986894,-20.0,0.5069274046629244
5,1,222.02170563099207,2.906340019995696,-21.0,0.5057897503189381
5,2,225.63148241899034,3.5862135569914244,-21.0,0.505407065182717
5,3,228.89133360599226,3.259680123999715,-20.0,0.5054194309714047
5,4,231.82125385699328,2.929762960993685,-21.0,0.5043589488142034
5,5,234.77643405800336,2.9550233200134244,-21.0,0.5056874781847001
5,6,237.71073223899293,2.934143780003069,-21.0,0.5065941799273996
5,7,241.26750394899864,3.5566172510007164,-21.0,0.5050090465268467
5,8,246.57949981499405,5.256485810998129,-20.0,0.5067726188936708
