Iteration,Episode,Time of Training,Time of last episode,Reward,Average Action Prob
0,0,3.829502946930006,3.829496967839077,-21.0,0.5009889527793648
0,1,7.701659138081595,3.8719642581418157,-21.0,0.500769569820411
0,2,12.084429817041382,4.382602364057675,-21.0,0.501209073430262
0,3,16.71353381406516,4.6289216231089085,-21.0,0.5007464030008035
0,4,21.682578741107136,4.968857363099232,-21.0,0.5010021685769683
0,5,25.508041372988373,3.825268514920026,-21.0,0.5003940028584365
0,6,29.74159753206186,4.233378242934123,-20.0,0.500118732889353
0,7,33.55244312202558,3.8106640910264105,-21.0,0.5001756029420541
0,8,37.65572750894353,4.103110990021378,-21.0,0.5008020431190123
0,9,42.45950882695615,4.803594802040607,-20.0,0.500244834225864
1,0,59.55888062599115,3.7854451949242502,-21.0,0.5009714792238422
1,1,63.86380294710398,4.304741516010836,-21.0,0.5012152028917256
1,2,68.16931402892806,4.305307155009359,-21.0,0.5020338003991773
1,3,72.73751641996205,4.567998516838998,-21.0,0.5013667068723774
1,4,77.57315359101631,4.835439143003896,-21.0,0.5014088206558778
1,5,81.85743942903355,4.284082738915458,-21.0,0.5014793579299278
1,6,85.6205966360867,3.7629871601238847,-21.0,0.5013685426776259
1,7,90.1024935990572,4.481722831027582,-20.0,0.5018170975405595
1,8,94.16155695496127,4.058876981027424,-21.0,0.5021728930396462
1,9,98.33985582902096,4.17812627996318,-20.0,0.501025838243718
2,0,119.84491142211482,7.0765132419765,-20.0,0.5024988258890594
2,1,124.38890279806219,4.543760248925537,-20.0,0.5030244676906086
2,2,129.36595738702454,4.976880196947604,-21.0,0.5030559490672666
2,3,133.83744069305249,4.471292931120843,-20.0,0.5019370066556285
2,4,137.38559098611586,3.5479344960767776,-21.0,0.5029286273038356
2,5,141.27400785009377,3.8882572650909424,-21.0,0.5028027248710899
2,6,146.2821074919775,5.007925834972411,-20.0,0.5024419542360533
2,7,150.5839323680848,4.301620725076646,-21.0,0.5027085988297508
2,8,155.85871301498264,5.274591086897999,-20.0,0.5016017565882824
2,9,160.32232684711926,4.463397782063112,-20.0,0.5020490542422998
3,0,178.31602323893458,5.158339989837259,-21.0,0.504292946518657
3,1,182.802173206117,4.485961721045896,-20.0,0.5050795742543474
3,2,188.52309817192145,5.72074711183086,-20.0,0.50469557366336
3,3,192.5940104550682,4.070714351953939,-21.0,0.5043810788655428
3,4,196.67726353602484,4.083078230032697,-21.0,0.5054125572233114
3,5,201.29664803296328,4.619205463910475,-21.0,0.5040926584705191
3,6,205.91397619713098,4.6171455341391265,-21.0,0.5048546764858911
3,7,210.81139414198697,4.89723702496849,-21.0,0.5038669511158628
3,8,215.30378428893164,4.492202403955162,-20.0,0.5044205955726104
3,9,219.08444123296067,3.780470998957753,-21.0,0.5046664846217661
4,0,238.62648857804015,6.55239959503524,-19.0,0.5089873459013724
4,1,242.55557650793344,3.928868140792474,-20.0,0.5087136247532857
4,2,246.31533048395067,3.7595824648160487,-21.0,0.5079604470921517
4,3,250.90913616796024,4.593627986032516,-21.0,0.507887244979975
4,4,255.1944443921093,4.285132809076458,-21.0,0.5078936755436204
4,5,259.2426016179379,4.047978540882468,-21.0,0.5089292180222961
4,6,263.42957490007393,4.186801961157471,-20.0,0.5096898038658184
4,7,267.4622994661331,4.032540172105655,-21.0,0.5070978192608324
4,8,271.23076720093377,3.7682943558320403,-21.0,0.5089091883013839
4,9,275.4132850060705,4.182347068097442,-20.0,0.5093892177756951
5,0,293.8067675670609,4.335316877113655,-21.0,0.5108008541016824
5,1,297.855731081916,4.048788036918268,-21.0,0.5101203923724693
5,2,301.6405110231135,3.784587620990351,-21.0,0.5106914770717109
5,3,305.39293634309433,3.752262758091092,-21.0,0.5127475886001731
5,4,309.1628386171069,3.7697348431684077,-21.0,0.5090746112547598
5,5,313.49219713313505,4.329195013036951,-21.0,0.5121998504451397
5,6,317.30825542495586,3.8158837649971247,-21.0,0.5097758180859671
5,7,321.82056333101355,4.512144387001172,-20.0,0.5098039160995134
5,8,325.59896382992156,3.778215243946761,-21.0,0.5121261109688401
5,9,329.6565157759469,4.057363671017811,-21.0,0.510067299058939
6,0,347.4420722699724,3.81686772685498,-21.0,0.514782161488044
6,1,352.3499828299973,4.907726702047512,-19.0,0.512955738285993
6,2,357.11437573097646,4.764205412007868,-20.0,0.516492926882943
6,3,361.4427055979613,4.328148287953809,-21.0,0.5124884570585722
6,4,365.20463418914005,3.761751397047192,-21.0,0.5144501587204201
6,5,370.0730751529336,4.868268118938431,-21.0,0.5155061012781604
6,6,374.1259625600651,4.052696174010634,-21.0,0.514118326137004
6,7,377.8877853071317,3.761603033170104,-21.0,0.5134950212555603
6,8,382.4920738481451,4.6041119650471956,-21.0,0.5137069055472077
6,9,386.4431426569354,3.950865546008572,-20.0,0.5130209714391173
7,0,404.60883402102627,4.394675739109516,-21.0,0.5153579473723643
7,1,408.9451055810787,4.336088570067659,-21.0,0.5175973757979387
7,2,414.00231384509243,5.057032885961235,-20.0,0.5144347369569614
7,3,418.3190946150571,4.316553377080709,-21.0,0.5140151311722347
7,4,422.22727279900573,3.9079955560155213,-20.0,0.5137304058762097
7,5,425.983672050992,3.756228815065697,-21.0,0.5125580500021125
7,6,429.73781058192253,3.753966881893575,-21.0,0.5140546875852114
7,7,433.49546904396266,3.7574897499289364,-21.0,0.5135127338812207
7,8,437.25111607811414,3.7554695489816368,-21.0,0.5137750975091409
7,9,441.57142296712846,4.3201356020290405,-21.0,0.5147015674210841
8,0,461.01743647106923,5.893449840135872,-21.0,0.516408374237675
8,1,465.0758857030887,4.058253878960386,-21.0,0.5170938080594599
8,2,469.9458293139469,4.869766021845862,-21.0,0.518296923729509
8,3,473.7025801879354,3.756551368860528,-21.0,0.5171034974046052
8,4,478.15057047014125,4.447828365024179,-20.0,0.5204939538769171
8,5,482.2671590971295,4.116412397008389,-21.0,0.5166554248584344
8,6,487.86851987591945,5.601193525828421,-20.0,0.5165999110505646
8,7,493.2787819430232,5.41005880990997,-21.0,0.5205364762547137
8,8,497.3176435660571,4.038646413944662,-21.0,0.5198065541954332
8,9,501.375493444968,4.057642713887617,-21.0,0.5137219422625096
9,0,519.7064042519778,4.5985446909908205,-21.0,0.5249163640507188
9,1,524.0496151600964,4.343024753034115,-21.0,0.5214519876333044
9,2,528.1174287269823,4.067626924952492,-21.0,0.5236134515995365
9,3,532.717008667998,4.59939577896148,-21.0,0.5226566002919124
9,4,537.0446627771016,4.327478470979258,-21.0,0.5185235413095597
9,5,541.2183347069658,4.173492749920115,-20.0,0.5193712450979067
9,6,545.8132998219226,4.594788753893226,-21.0,0.5221617715118478
9,7,552.62212429801,6.808632083935663,-21.0,0.5228898371376047
9,8,556.388972105924,3.766612999839708,-21.0,0.5190329569556522
9,9,560.1564759360626,3.767328462097794,-21.0,0.5197276198938128
10,0,577.9948040519375,4.382048727013171,-21.0,0.5246871869405928
10,1,582.0516716320999,4.056684520095587,-21.0,0.5256018775401476
10,2,586.6711950369645,4.619352221954614,-19.0,0.5270663780506221
10,3,590.450201950036,3.778832196025178,-21.0,0.526979005237752
10,4,594.5050787399523,4.054713690886274,-21.0,0.5275931095463586
10,5,598.5619694590569,4.056717067025602,-21.0,0.5268934219949183
10,6,602.892581067048,4.330443175043911,-21.0,0.5264680461588666
10,7,607.2152518820949,4.322488219011575,-21.0,0.5228912411651419
10,8,611.4642469200771,4.248822710942477,-20.0,0.5265197685901223
10,9,615.648311306024,4.1838838930707425,-20.0,0.524625835142979
11,0,633.0511465950403,4.201277354964986,-20.0,0.5264558959332556
11,1,636.9642913821153,3.9129705880768597,-20.0,0.5294403183380462
11,2,641.0131886580493,4.048729904927313,-21.0,0.5241147627755495
11,3,645.1992968409322,4.185901633929461,-20.0,0.5309022431603331
11,4,650.3599892870989,5.1605135831050575,-21.0,0.5318612717273357
11,5,654.3782266930211,4.018045827979222,-21.0,0.5278770413860089
11,6,658.4156293720007,4.037232466973364,-21.0,0.527235975152651
11,7,663.427829592023,5.012030662037432,-20.0,0.5304167880743437
11,8,667.1886394899338,3.760611853795126,-21.0,0.5240174037295855
11,9,671.1053113241214,3.9164886760991067,-20.0,0.5304839284514071
12,0,688.1756720091216,4.76428939611651,-20.0,0.5302576908671991
12,1,692.9357890430838,4.7599304700270295,-20.0,0.5322690395698576
12,2,697.2443064360414,4.308332572923973,-21.0,0.5359417848470158
12,3,701.2709968129639,4.026487270835787,-21.0,0.5317283137943217
12,4,705.0345472199842,3.763381561031565,-21.0,0.5325682891455922
12,5,710.1578361019492,5.1231177158188075,-21.0,0.5324207572994314
12,6,714.4659270411357,4.30789534910582,-21.0,0.5322231480351651
12,7,718.5138241620734,4.047720608999953,-21.0,0.5296306424222179
12,8,722.698403300019,4.184401134029031,-20.0,0.5329368649376619
12,9,727.7125880790409,5.013996206922457,-20.0,0.5342925158844594
13,0,743.9732034020126,4.095469302032143,-21.0,0.5387973566265667
13,1,748.2548747109249,4.281501452904195,-21.0,0.5397605200293203
13,2,753.4155597239733,5.1604952099733055,-21.0,0.5328862655758858
13,3,758.2564044080209,4.840643364936113,-21.0,0.5360817210949922
13,4,762.0224955440499,3.7659028640482575,-21.0,0.5342637247769004
13,5,766.6137487790547,4.591082050930709,-21.0,0.5335277095752124
