Iteration,Episode,Time of Training,Time of last episode,Reward,Average Action Prob
0,0,3.4221252770000206,3.4221200779999776,-21.0,0.5066830424874709
0,1,6.478940372000011,3.054591963000007,-21.0,0.5048481109625226
0,2,9.51282115500004,3.03168793399999,-21.0,0.5065168279920417
0,3,12.543465081000022,3.028454452999995,-21.0,0.5057412631400124
0,4,15.931138353000051,3.3854861190000065,-21.0,0.506027581803139
0,5,18.96424663700003,3.0329398540000057,-21.0,0.5044905852955517
0,6,22.002556168000012,3.0381658629999606,-21.0,0.5033353266759693
0,7,25.111899048000055,3.109200346000023,-21.0,0.5049151248001147
0,8,28.14365781400005,3.0316139829999997,-21.0,0.506279678761725
0,9,31.198704789000033,3.0549032019999913,-21.0,0.5056333484722993
1,0,42.882741536000026,3.0607643449999955,-21.0,0.5019955519996389
1,1,45.89553357700004,3.0126389490000065,-21.0,0.5032513878986006
1,2,48.91614093000004,3.0204628980000052,-21.0,0.503099535265206
1,3,51.94134850300003,3.025062445000003,-21.0,0.5023655472079497
1,4,56.19193962100002,4.250447118000011,-19.0,0.5023684137158616
1,5,59.22219820000004,3.030086954000012,-21.0,0.5022193089576136
1,6,62.24486670500005,3.0225239869999996,-21.0,0.5026312321717046
1,7,65.50916488200005,3.2628125330000444,-21.0,0.5014534644438948
1,8,68.53752169600006,3.026853344000017,-21.0,0.5023081263146943
1,9,71.57279549000003,3.0338403760000006,-21.0,0.5024672487448335
2,0,84.21425158000005,3.014450511000007,-21.0,0.5023878485315445
2,1,87.22956402300002,3.015146661000017,-21.0,0.5019992927859747
2,2,90.48973326400005,3.2588706060000163,-21.0,0.5010783441220094
2,3,93.74611131300003,3.2550448210000127,-21.0,0.5013845131994741
2,4,96.76754409300003,3.0199268249999704,-21.0,0.5009135426319551
2,5,99.79062037199998,3.021730017999971,-21.0,0.5013864031207811
2,6,102.81703273199997,3.025090916999943,-21.0,0.5023482197905398
2,7,106.08236790699999,3.263956746999952,-21.0,0.5004039452167102
2,8,109.58641105400005,3.503887445000032,-21.0,0.5016160815684504
2,9,112.62171288300004,3.0337926070000094,-21.0,0.5013162039746945
3,0,124.54486920699998,3.6206108330000006,-21.0,0.5012847717607533
3,1,128.526637095,3.9815927280000096,-21.0,0.5007209729001274
3,2,131.54804062199997,3.020068851999895,-21.0,0.5010776611834921
3,3,134.569660489,3.0202317419999645,-21.0,0.500733566309535
3,4,137.82867858900005,3.257708962000038,-21.0,0.5007038512402802
3,5,140.84985833900004,3.0210097650000307,-21.0,0.5010144769248226
3,6,144.731108087,3.879845090999993,-20.0,0.5008467247152025
3,7,147.99089518700004,3.2584580779999897,-21.0,0.5011846516281366
3,8,151.02605364100003,3.0337472149999485,-21.0,0.5006771287076293
3,9,154.04927439199997,3.0218119949998936,-21.0,0.5010653357874817
4,0,165.66157526400008,3.296990178000101,-21.0,0.5002747752604265
4,1,169.159298483,3.4963360879999072,-21.0,0.5010312371813685
4,2,173.499638897,4.339026706000027,-20.0,0.5009269915817812
4,3,176.992883534,3.491919904999918,-21.0,0.5006806388076416
4,4,180.49047924400003,3.4962447269999757,-21.0,0.5008101388812065
4,5,183.75273597200004,3.2608194599999933,-21.0,0.5006499782982237
4,6,187.63617168800005,3.8819820380000465,-20.0,0.5010644172521318
4,7,190.893237413,3.2556598510000185,-21.0,0.49995652069925395
4,8,195.00960419400002,4.114902112999971,-20.0,0.5008033373582521
4,9,198.91386189500003,3.9028696509999463,-20.0,0.5007716282172278
5,0,211.71930684600005,4.247349628000052,-21.0,0.5031570553164545
5,1,215.49643528300004,3.7276834230000304,-21.0,0.5020346738413827
